temp (C),rho,rho unc,dollars,dollars unc
1,0.0,0.0,0.0,0.0
5,-0.021778452851737906,-0.038530017150635885,-0.029037937135650543,-0.05137335620084785
10,-0.03049237979746488,-0.04161115163772259,-0.040656506396619836,-0.05548153551696346
15,-0.00871029030910695,-0.04081133549361088,-0.0116137204121426,-0.054415113991481176
20,-0.021778452851737906,-0.03268582366158279,-0.029037937135650543,-0.043581098215443724
25,-0.06754280932977638,-0.04083435348743671,-0.09005707910636852,-0.054445804649915615
30,-0.11225626940583669,-0.0385634425266598,-0.14967502587444892,-0.05141792336887974
35,-0.16792892808094992,-0.04009532170103556,-0.22390523744126656,-0.05346042893471408
40,-0.2958730741457947,-0.042523664720124595,-0.394497432194393,-0.056698219626832795
45,-0.3122988293240429,-0.0379052866614057,-0.41639843909872387,-0.050540382215207603
50,-0.3747637589783053,-0.04095476328948337,-0.49968501197107373,-0.0546063510526445
55,-0.3802466963642584,-0.03941193218815803,-0.5069955951523446,-0.05254924291754404
60,-0.3440699167547397,-0.04094271747044469,-0.45875988900631964,-0.05459028996059291
65,-0.6452068148772587,-0.04027914553981485,-0.8602757531696783,-0.0537055273864198
70,-0.6562299849854513,-0.038765013903489645,-0.8749733133139351,-0.05168668520465286
75,-0.6584348967883547,-0.04028425227207705,-0.8779131957178063,-0.0537123363627694
80,-0.7500204742431166,-0.04110231870292103,-1.000027298990822,-0.05480309160389471
85,-0.8251735954562309,-0.040348677312259856,-1.100231460608308,-0.05379823641634647
90,-1.020187613205641,-0.04042415717328868,-1.3602501509408549,-0.05389887623105157
95,-1.0212977137759287,-0.04282033499380285,-1.3617302850345716,-0.057093779991737134
99,-1.119078253821381,-0.04204754698827852,-1.492104338428508,-0.056063395984371364
