x,D x,D rho,rho unc,D dollars,dollars unc,coef rho,coef rho avg,coef rho unc,coef dollars,coef dollars avg,coef dollars unc
0.1,90.0,-76.93548047101491,-0.2251862337098793,-102.58064062801986,-0.3002483116131724,-0.8548386719001657,-0.448838703001569,-0.0025020692634431033,-1.1397848958668875,-0.5984516040020921,-0.003336092351257471
0.2,80.0,-58.046956167271034,-0.1932315181565214,-77.39594155636136,-0.2576420242086952,-0.725586952090888,-0.40372759534616903,-0.0024153939769565175,-0.967449269454517,-0.5383034604615587,-0.00322052530260869
0.3,70.0,-42.59558966309939,-0.16762207340796495,-56.79411955079921,-0.2234960978772866,-0.6085084237585627,-0.36349517575307944,-0.0023946010486852135,-0.8113445650114173,-0.484660234337439,-0.0031928013982469514
0.4,60.0,-30.854192122278274,-0.1490719392225113,-41.13892282970436,-0.1987625856300151,-0.5142365353713045,-0.32849328318086723,-0.0024845323203751884,-0.6856487138284061,-0.43799104424115615,-0.0033127097605002514
0.5,50.0,-22.296132142677745,-0.13363962257148726,-29.728176190237,-0.17818616342864965,-0.44592264285355493,-0.29753607448246117,-0.0026727924514297454,-0.59456352380474,-0.39671476597661465,-0.0035637232685729932
0.6,40.0,-15.661680864245419,-0.1271845981515299,-20.88224115232723,-0.1695794642020399,-0.3915420216061355,-0.2678587608082424,-0.003179614953788248,-0.5220560288081807,-0.3571450144109904,-0.004239486605050998
0.7,30.0,-10.443250026979523,-0.13414030289523032,-13.924333369306032,-0.17885373719364042,-0.3481083342326508,-0.23693794560876943,-0.004471343429841011,-0.4641444456435344,-0.3159172608116926,-0.005961791239788014
0.8,20.0,-6.202497589490348,-0.11136485795259184,-8.269996785987132,-0.14848647727012246,-0.3101248794745174,-0.1998811494008097,-0.0055682428976295915,-0.41349983929935663,-0.26650819920107893,-0.0074243238635061225
0.9,10.0,-2.895185687279094,-0.11012612195216034,-3.8602475830387935,-0.14683482926954713,-0.28951856872790943,-0.1447592843639547,-0.011012612195216034,-0.38602475830387933,-0.19301237915194003,-0.014683482926954714
1.0,0.0,-0.0,0.0,-0.0,0.0,0,0,0,0,0,0
1.1,-10.0,2.2326488125031654,0.10552177362757004,2.976865083337554,0.14069569817009342,-0.22326488125031654,,-0.010552177362757004,-0.2976865083337554,,-0.014069569817009343
1.2,-20.0,4.119796787251761,0.10218351237196566,5.493062383002348,0.13624468316262087,-0.20598983936258802,,-0.0051091756185982825,-0.2746531191501174,,-0.006812234158131043
1.3,-30.0,5.720334794863532,0.11786364528575165,7.6271130598180426,0.15715152704766885,-0.19067782649545106,,-0.003928788176191722,-0.25423710199393473,,-0.005238384234922295
1.4,-40.0,7.221153477402238,0.0964578043938394,9.628204636536317,0.12861040585845254,-0.18052883693505595,,-0.002411445109845985,-0.24070511591340793,,-0.0032152601464613137
1.5,-50.0,8.373115696307782,0.09280408208777302,11.16415426174371,0.1237387761170307,-0.16746231392615563,,-0.0018560816417554605,-0.2232830852348742,,-0.002474775522340614
1.6,-60.0,9.519746829386241,0.09178612751761436,12.692995772514989,0.12238150335681912,-0.15866244715643735,,-0.0015297687919602393,-0.21154992954191648,,-0.002039691722613652
1.7,-70.0,10.431771102764687,0.08975314672827908,13.909028137019586,0.11967086230437213,-0.14902530146806695,,-0.001282187810403987,-0.19870040195742267,,-0.001709583747205316
1.8,-80.0,11.220441568761354,0.10511907543406106,14.960588758348472,0.14015876724541476,-0.14025551960951693,,-0.0013139884429257632,-0.1870073594793559,,-0.0017519845905676844
1.9,-90.0,11.839788725828988,0.10666158892701984,15.786384967771985,0.14221545190269316,-0.13155320806476653,,-0.001185128765855776,-0.17540427741968873,,-0.0015801716878077019
2.0,-100.0,12.454979965398133,0.08985349077432835,16.606639953864175,0.11980465436577112,-0.12454979965398133,,-0.0008985349077432834,-0.16606639953864175,,-0.0011980465436577112
