x,rho,rho unc,dollars,dollars unc
0.1,-76.9354804710149,-0.22518623370987928,-102.58064062801988,-0.3002483116131724
0.2,-58.04695616727103,-0.1932315181565214,-77.39594155636136,-0.2576420242086952
0.3,-42.59558966309939,-0.16762207340796495,-56.794119550799195,-0.2234960978772866
0.4,-30.854192122278274,-0.1490719392225113,-41.13892282970436,-0.1987625856300151
0.5,-22.296132142677745,-0.13363962257148723,-29.728176190236997,-0.17818616342864965
0.6,-15.661680864245419,-0.1271845981515299,-20.88224115232723,-0.1695794642020399
0.7,-10.443250026979523,-0.13414030289523032,-13.924333369306032,-0.17885373719364042
0.8,-6.202497589490349,-0.11136485795259184,-8.269996785987132,-0.14848647727012246
0.9,-2.8951856872790946,-0.11012612195216034,-3.8602475830387935,-0.14683482926954713
1.0,-0.0,0,-0.0,0.0
1.1,2.2326488125031654,0.10552177362757005,2.976865083337554,0.14069569817009342
1.2,4.119796787251761,0.10218351237196566,5.493062383002348,0.13624468316262087
1.3,5.720334794863531,0.11786364528575163,7.627113059818042,0.15715152704766885
1.4,7.221153477402238,0.09645780439383941,9.628204636536317,0.12861040585845257
1.5,8.373115696307782,0.09280408208777302,11.16415426174371,0.1237387761170307
1.6,9.519746829386241,0.09178612751761435,12.692995772514989,0.12238150335681913
1.7,10.431771102764687,0.08975314672827908,13.909028137019583,0.11967086230437211
1.8,11.220441568761354,0.10511907543406106,14.960588758348472,0.14015876724541476
1.9,11.839788725828987,0.10666158892701985,15.786384967771983,0.14221545190269314
2.0,12.454979965398131,0.08985349077432835,16.606639953864175,0.11980465436577113
