idx chain a,tank h cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
9,119.8,9.0,8.0,7.29,0.02,0.95999,0.0002,88.7
10,119.8,10.0,9.0,5.72,0.03,0.9647700000000001,0.00021,88.19
11,119.8,11.0,10.0,4.47,0.0,0.96549,0.00023,87.66
12,119.8,12.0,11.0,3.44,0.02,0.9636,0.00022,87.12
13,119.8,13.0,12.0,2.58,0.04,0.96017,0.00019,86.48
14,119.8,14.0,13.0,1.86,0.02,0.956,0.00022,85.87
15,119.8,15.0,14.0,1.24,0.02,0.95059,0.00021,85.23
