idx chain a,tank h cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
9,119.8,9.0,8.0,7.75,0.01,0.9541700000000001,0.00033,89.34
10,119.8,10.0,9.0,6.17,0.03,0.9608,0.0004,88.87
11,119.8,11.0,10.0,4.91,0.04,0.9651299999999999,0.00036,88.43
12,119.8,12.0,11.0,3.88,0.04,0.96559,0.00035,87.96
13,119.8,13.0,12.0,3.02,0.05,0.9643799999999999,0.00035,87.47
14,119.8,14.0,13.0,2.3,0.01,0.9619,0.00036,86.93
15,119.8,15.0,14.0,1.67,0.06,0.95729,0.00037999999999999997,86.36
16,119.8,16.0,15.0,1.13,0.06,0.95304,0.00041,85.77
