cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,78.0,9.0,8.0,5.5,8.18,0.98962,0.00013,89.37
6.0,124.0,78.0,9.0,8.0,6.0,6.18,0.99118,0.00013,89.51
6.5,124.0,78.0,9.0,8.0,6.5,4.18,0.99241,0.00012,89.64
7.0,124.0,78.0,9.0,8.0,7.0,2.18,0.99352,0.00013,89.75
7.5,124.0,78.0,9.0,8.0,7.5,0.18,0.99383,0.00012,89.84
8.0,127.63833751458316,78.0,9.0,8.0,8.0,0.0,0.9951,0.00012,89.95
8.5,131.63833751458316,78.0,9.0,8.0,8.5,0.0,0.9963,0.00015,90.07
9.0,135.63833751458316,78.0,9.0,8.0,9.0,0.0,0.9969,0.00012,90.15
9.5,139.63833751458316,78.0,9.0,8.0,9.5,0.0,0.99773,0.00013,90.26
10.0,143.63833751458316,78.0,9.0,8.0,10.0,0.0,0.998,0.00013,90.33
10.5,147.63833751458316,78.0,9.0,8.0,10.5,0.0,0.99836,0.00013,90.41
11.0,151.63833751458316,78.0,9.0,8.0,11.0,0.0,0.99839,0.00013,90.48
11.5,155.63833751458316,78.0,9.0,8.0,11.5,0.0,0.99831,0.00012,90.56
12.0,159.63833751458316,78.0,9.0,8.0,12.0,0.0,0.9977,0.00011,90.63
12.5,163.63833751458316,78.0,9.0,8.0,12.5,0.0,0.99737,0.00012,90.67
13.0,167.63833751458316,78.0,9.0,8.0,13.0,0.0,0.99706,0.00013,90.73
13.5,171.63833751458316,78.0,9.0,8.0,13.5,0.0,0.99636,0.00013,90.79
14.0,175.63833751458316,78.0,9.0,8.0,14.0,0.0,0.99585,0.00012,90.83
14.5,179.63833751458316,78.0,9.0,8.0,14.5,0.0,0.99493,0.00014,90.87
15.0,183.6383375145832,78.0,9.0,8.0,15.0,0.0,0.99384,0.00013,90.9
15.5,187.6383375145832,78.0,9.0,8.0,15.5,0.0,0.99267,0.00012,90.95
16.0,191.6383375145832,78.0,9.0,8.0,16.0,0.0,0.99162,0.00013,90.99
16.5,195.6383375145832,78.0,9.0,8.0,16.5,0.0,0.9904,0.00012,91.02
17.0,199.63833751458316,78.0,9.0,8.0,17.0,0.0,0.9893,0.00013,91.04
