cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,64.0,9.0,8.0,5.5,8.18,0.95746,0.00012,87.42
6.0,124.0,64.0,9.0,8.0,6.0,6.18,0.96105,0.00013,87.63
6.5,124.0,64.0,9.0,8.0,6.5,4.18,0.96358,0.00014,87.81
7.0,124.0,64.0,9.0,8.0,7.0,2.18,0.96615,0.00012,87.98
7.5,124.0,64.0,9.0,8.0,7.5,0.18,0.96813,0.00015,88.14
8.0,127.63833751458316,64.0,9.0,8.0,8.0,0.0,0.97081,0.00012,88.3
8.5,131.63833751458316,64.0,9.0,8.0,8.5,0.0,0.9731,0.00013,88.47
9.0,135.63833751458316,64.0,9.0,8.0,9.0,0.0,0.97519,0.00012,88.63
9.5,139.63833751458316,64.0,9.0,8.0,9.5,0.0,0.97683,0.00012,88.76
10.0,143.63833751458316,64.0,9.0,8.0,10.0,0.0,0.97813,0.00012,88.9
10.5,147.63833751458316,64.0,9.0,8.0,10.5,0.0,0.97937,0.00012,89.02
11.0,151.63833751458316,64.0,9.0,8.0,11.0,0.0,0.9806,0.00013,89.13
11.5,155.63833751458316,64.0,9.0,8.0,11.5,0.0,0.98136,0.00012,89.25
12.0,159.63833751458316,64.0,9.0,8.0,12.0,0.0,0.98191,0.00011,89.36
12.5,163.63833751458316,64.0,9.0,8.0,12.5,0.0,0.98266,0.00013,89.45
13.0,167.63833751458316,64.0,9.0,8.0,13.0,0.0,0.98266,0.00012,89.54
13.5,171.63833751458316,64.0,9.0,8.0,13.5,0.0,0.98301,0.00012,89.62
14.0,175.63833751458316,64.0,9.0,8.0,14.0,0.0,0.98337,0.00013,89.69
14.5,179.63833751458316,64.0,9.0,8.0,14.5,0.0,0.9832,0.00014,89.76
15.0,183.6383375145832,64.0,9.0,8.0,15.0,0.0,0.98295,0.00012,89.83
15.5,187.6383375145832,64.0,9.0,8.0,15.5,0.0,0.98279,0.00013,89.9
16.0,191.6383375145832,64.0,9.0,8.0,16.0,0.0,0.98204,0.00012,89.96
16.5,195.6383375145832,64.0,9.0,8.0,16.5,0.0,0.98179,0.00012,90.02
17.0,199.63833751458316,64.0,9.0,8.0,17.0,0.0,0.98122,0.00012,90.07
