cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,80.0,9.0,8.0,5.5,8.18,0.99198,0.00013,89.56
6.0,124.0,80.0,9.0,8.0,6.0,6.18,0.99344,0.00013,89.69
6.5,124.0,80.0,9.0,8.0,6.5,4.18,0.99465,0.00013,89.82
7.0,124.0,80.0,9.0,8.0,7.0,2.18,0.99525,0.00013,89.92
7.5,124.0,80.0,9.0,8.0,7.5,0.18,0.9955,0.00013,90.0
8.0,127.63833751458316,80.0,9.0,8.0,8.0,0.0,0.99663,0.00012,90.11
8.5,131.63833751458316,80.0,9.0,8.0,8.5,0.0,0.99771,0.00013,90.21
9.0,135.63833751458316,80.0,9.0,8.0,9.0,0.0,0.99846,0.00013,90.31
9.5,139.63833751458316,80.0,9.0,8.0,9.5,0.0,0.99865,0.00012,90.4
10.0,143.63833751458316,80.0,9.0,8.0,10.0,0.0,0.99906,0.00014,90.48
10.5,147.63833751458316,80.0,9.0,8.0,10.5,0.0,0.99918,0.00012,90.55
11.0,151.63833751458316,80.0,9.0,8.0,11.0,0.0,0.99931,0.00012,90.62
11.5,155.63833751458316,80.0,9.0,8.0,11.5,0.0,0.99901,0.00013,90.68
12.0,159.63833751458316,80.0,9.0,8.0,12.0,0.0,0.9989,0.00011,90.75
12.5,163.63833751458316,80.0,9.0,8.0,12.5,0.0,0.99793,0.00014,90.8
13.0,167.63833751458316,80.0,9.0,8.0,13.0,0.0,0.9976,0.00013,90.85
13.5,171.63833751458316,80.0,9.0,8.0,13.5,0.0,0.99654,0.00012,90.89
14.0,175.63833751458316,80.0,9.0,8.0,14.0,0.0,0.99614,0.00012,90.94
14.5,179.63833751458316,80.0,9.0,8.0,14.5,0.0,0.99485,0.00013,90.97
15.0,183.6383375145832,80.0,9.0,8.0,15.0,0.0,0.99365,0.00013,91.02
15.5,187.6383375145832,80.0,9.0,8.0,15.5,0.0,0.99263,0.00013,91.05
16.0,191.6383375145832,80.0,9.0,8.0,16.0,0.0,0.9914,0.00012,91.08
16.5,195.6383375145832,80.0,9.0,8.0,16.5,0.0,0.9902,0.00013,91.11
17.0,199.63833751458316,80.0,9.0,8.0,17.0,0.0,0.98869,0.00011,91.13
