cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,66.0,9.0,8.0,5.5,8.18,0.96407,0.00011,87.78
6.0,124.0,66.0,9.0,8.0,6.0,6.18,0.96706,0.00012,87.98
6.5,124.0,66.0,9.0,8.0,6.5,4.18,0.96976,0.0001,88.16
7.0,124.0,66.0,9.0,8.0,7.0,2.18,0.97179,0.00013,88.31
7.5,124.0,66.0,9.0,8.0,7.5,0.18,0.97351,0.00013,88.45
8.0,127.63833751458316,66.0,9.0,8.0,8.0,0.0,0.9757,0.00012,88.61
8.5,131.63833751458316,66.0,9.0,8.0,8.5,0.0,0.97782,0.00013,88.77
9.0,135.63833751458316,66.0,9.0,8.0,9.0,0.0,0.97969,0.00012,88.92
9.5,139.63833751458316,66.0,9.0,8.0,9.5,0.0,0.98128,0.00012,89.05
10.0,143.63833751458316,66.0,9.0,8.0,10.0,0.0,0.98266,0.00013,89.17
10.5,147.63833751458316,66.0,9.0,8.0,10.5,0.0,0.98392,0.00012,89.3
11.0,151.63833751458316,66.0,9.0,8.0,11.0,0.0,0.98477,0.00011,89.4
11.5,155.63833751458316,66.0,9.0,8.0,11.5,0.0,0.98534,0.00013,89.49
12.0,159.63833751458316,66.0,9.0,8.0,12.0,0.0,0.98591,0.00014,89.59
12.5,163.63833751458316,66.0,9.0,8.0,12.5,0.0,0.98621,0.00014,89.68
13.0,167.63833751458316,66.0,9.0,8.0,13.0,0.0,0.98637,0.00014,89.76
13.5,171.63833751458316,66.0,9.0,8.0,13.5,0.0,0.98657,0.00014,89.84
14.0,175.63833751458316,66.0,9.0,8.0,14.0,0.0,0.98629,0.00011,89.91
14.5,179.63833751458316,66.0,9.0,8.0,14.5,0.0,0.98619,0.00011,89.98
15.0,183.6383375145832,66.0,9.0,8.0,15.0,0.0,0.98588,0.00011,90.04
15.5,187.6383375145832,66.0,9.0,8.0,15.5,0.0,0.98542,0.00011,90.11
16.0,191.6383375145832,66.0,9.0,8.0,16.0,0.0,0.98478,0.00013,90.16
16.5,195.6383375145832,66.0,9.0,8.0,16.5,0.0,0.98447,0.00011,90.21
17.0,199.63833751458316,66.0,9.0,8.0,17.0,0.0,0.98376,0.00013,90.27
