cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,70.0,9.0,8.0,5.5,8.18,0.97477,0.00013,88.42
6.0,124.0,70.0,9.0,8.0,6.0,6.18,0.97736,0.00013,88.58
6.5,124.0,70.0,9.0,8.0,6.5,4.18,0.97973,0.00012,88.76
7.0,124.0,70.0,9.0,8.0,7.0,2.18,0.98136,0.00013,88.88
7.5,124.0,70.0,9.0,8.0,7.5,0.18,0.98247,0.00014,89.0
8.0,127.63833751458316,70.0,9.0,8.0,8.0,0.0,0.98437,0.00012,89.15
8.5,131.63833751458316,70.0,9.0,8.0,8.5,0.0,0.98615,0.00013,89.29
9.0,135.63833751458316,70.0,9.0,8.0,9.0,0.0,0.9875,0.00014,89.41
9.5,139.63833751458316,70.0,9.0,8.0,9.5,0.0,0.9887,0.00012,89.52
10.0,143.63833751458316,70.0,9.0,8.0,10.0,0.0,0.98976,0.00014,89.64
10.5,147.63833751458316,70.0,9.0,8.0,10.5,0.0,0.99058,0.00013,89.74
11.0,151.63833751458316,70.0,9.0,8.0,11.0,0.0,0.99097,0.00012,89.84
11.5,155.63833751458316,70.0,9.0,8.0,11.5,0.0,0.9913,0.00013,89.91
12.0,159.63833751458316,70.0,9.0,8.0,12.0,0.0,0.9916,0.00012,90.01
12.5,163.63833751458316,70.0,9.0,8.0,12.5,0.0,0.99179,0.00014,90.08
13.0,167.63833751458316,70.0,9.0,8.0,13.0,0.0,0.9916,0.00013,90.15
13.5,171.63833751458316,70.0,9.0,8.0,13.5,0.0,0.99164,0.00014,90.22
14.0,175.63833751458316,70.0,9.0,8.0,14.0,0.0,0.99133,0.00013,90.27
14.5,179.63833751458316,70.0,9.0,8.0,14.5,0.0,0.99045,0.00013,90.34
15.0,183.6383375145832,70.0,9.0,8.0,15.0,0.0,0.99005,0.00012,90.39
15.5,187.6383375145832,70.0,9.0,8.0,15.5,0.0,0.9895,0.00013,90.44
16.0,191.6383375145832,70.0,9.0,8.0,16.0,0.0,0.98866,0.00013,90.48
16.5,195.6383375145832,70.0,9.0,8.0,16.5,0.0,0.98777,0.00014,90.54
17.0,199.63833751458316,70.0,9.0,8.0,17.0,0.0,0.98723,0.00013,90.58
