cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,84.0,9.0,8.0,5.5,8.18,0.99555,0.00014,89.89
6.0,124.0,84.0,9.0,8.0,6.0,6.18,0.99671,0.00012,90.01
6.5,124.0,84.0,9.0,8.0,6.5,4.18,0.99741,0.00013,90.12
7.0,124.0,84.0,9.0,8.0,7.0,2.18,0.99771,0.00013,90.21
7.5,124.0,84.0,9.0,8.0,7.5,0.18,0.9976,0.00011,90.29
8.0,127.63833751458316,84.0,9.0,8.0,8.0,0.0,0.99874,0.00015,90.39
8.5,131.63833751458316,84.0,9.0,8.0,8.5,0.0,0.99939,0.00014,90.48
9.0,135.63833751458316,84.0,9.0,8.0,9.0,0.0,0.99982,0.00014,90.57
9.5,139.63833751458316,84.0,9.0,8.0,9.5,0.0,0.99989,0.00012,90.64
10.0,143.63833751458316,84.0,9.0,8.0,10.0,0.0,1.00009,0.00012,90.72
10.5,147.63833751458316,84.0,9.0,8.0,10.5,0.0,1.00006,0.00013,90.78
11.0,151.63833751458316,84.0,9.0,8.0,11.0,0.0,0.99981,0.00013,90.84
11.5,155.63833751458316,84.0,9.0,8.0,11.5,0.0,0.99915,0.00012,90.89
12.0,159.63833751458316,84.0,9.0,8.0,12.0,0.0,0.99883,0.00014,90.96
12.5,163.63833751458316,84.0,9.0,8.0,12.5,0.0,0.99809,0.00013,91.0
13.0,167.63833751458316,84.0,9.0,8.0,13.0,0.0,0.99744,0.00012,91.04
13.5,171.63833751458316,84.0,9.0,8.0,13.5,0.0,0.99635,0.00011,91.08
14.0,175.63833751458316,84.0,9.0,8.0,14.0,0.0,0.99542,0.00012,91.13
14.5,179.63833751458316,84.0,9.0,8.0,14.5,0.0,0.99434,0.00012,91.16
15.0,183.6383375145832,84.0,9.0,8.0,15.0,0.0,0.99315,0.00013,91.19
15.5,187.6383375145832,84.0,9.0,8.0,15.5,0.0,0.99188,0.00012,91.22
16.0,191.6383375145832,84.0,9.0,8.0,16.0,0.0,0.99042,0.00014,91.24
16.5,195.6383375145832,84.0,9.0,8.0,16.5,0.0,0.98925,0.00012,91.27
17.0,199.63833751458316,84.0,9.0,8.0,17.0,0.0,0.98753,0.00013,91.28
