output_filename,cubes,modr v L,core r cm,keff,corr keff,keff unc,therm fis %
o_b8hcp-caseSC-c700-r83_15-d2o96_8-v3200.o,700,3200,83.15369,0.93248,0.93667,0.00027,90.16
o_b8hcp-caseSC-c800-r64_02-d2o96_8-v1400.o,800,1400,64.01622,0.94682,0.95101,0.00029,86.95
o_b8hcp-caseSC-c800-r66_74-d2o96_8-v1600.o,800,1600,66.74354,0.95478,0.95897,0.00026,87.76
o_b8hcp-caseSC-c800-r69_26-d2o96_8-v1800.o,800,1800,69.26451,0.95976,0.96395,0.0003,88.37
o_b8hcp-caseSC-c800-r71_61-d2o96_8-v2000.o,800,2000,71.61423,0.96116,0.96535,0.0003,88.83
o_b8hcp-caseSC-c800-r73_82-d2o96_8-v2200.o,800,2200,73.81912,0.96093,0.96512,0.00028,89.22
o_b8hcp-caseSC-c800-r75_90-d2o96_8-v2400.o,800,2400,75.89962,0.95989,0.96408,0.00025,89.5
o_b8hcp-caseSC-c800-r77_87-d2o96_8-v2600.o,800,2600,77.87191,0.95665,0.96084,0.00029,89.73
o_b8hcp-caseSC-c800-r79_75-d2o96_8-v2800.o,800,2800,79.74906,0.95308,0.95727,0.00029,89.92
o_b8hcp-caseSC-c800-r81_54-d2o96_8-v3000.o,800,3000,81.54177,0.94861,0.9528,0.00023,90.07
