MeV,eV,flux,error
1.13E-08,1.13E-02,3.39E-06,0.0028
1.16E-08,1.16E-02,3.53E-06,0.0028
1.19E-08,1.19E-02,3.68E-06,0.0028
1.22E-08,1.22E-02,3.83E-06,0.0028
1.25E-08,1.25E-02,3.99E-06,0.0028
1.29E-08,1.29E-02,4.16E-06,0.0027
1.32E-08,1.32E-02,4.32E-06,0.0028
1.35E-08,1.35E-02,4.50E-06,0.0028
1.39E-08,1.39E-02,4.67E-06,0.0027
1.43E-08,1.43E-02,4.86E-06,0.0027
1.47E-08,1.47E-02,5.04E-06,0.0027
1.51E-08,1.51E-02,5.24E-06,0.0027
1.55E-08,1.55E-02,5.45E-06,0.0027
1.59E-08,1.59E-02,5.65E-06,0.0027
1.63E-08,1.63E-02,5.86E-06,0.0027
1.67E-08,1.67E-02,6.09E-06,0.0027
1.72E-08,1.72E-02,6.31E-06,0.0027
1.76E-08,1.76E-02,6.50E-06,0.0027
1.81E-08,1.81E-02,6.74E-06,0.0027
1.86E-08,1.86E-02,6.99E-06,0.0027
1.91E-08,1.91E-02,7.24E-06,0.0027
1.96E-08,1.96E-02,7.47E-06,0.0027
2.01E-08,2.01E-02,7.73E-06,0.0027
2.06E-08,2.06E-02,7.98E-06,0.0027
2.12E-08,2.12E-02,8.24E-06,0.0027
2.18E-08,2.18E-02,8.50E-06,0.0027
2.23E-08,2.23E-02,8.77E-06,0.0027
2.29E-08,2.29E-02,9.04E-06,0.0027
2.35E-08,2.35E-02,9.33E-06,0.0027
2.42E-08,2.42E-02,9.60E-06,0.0027
2.48E-08,2.48E-02,9.83E-06,0.0027
2.55E-08,2.55E-02,1.01E-05,0.0027
2.62E-08,2.62E-02,1.04E-05,0.0027
2.69E-08,2.69E-02,1.07E-05,0.0027
2.76E-08,2.76E-02,1.09E-05,0.0027
2.83E-08,2.83E-02,1.12E-05,0.0027
2.91E-08,2.91E-02,1.16E-05,0.0027
2.98E-08,2.98E-02,1.18E-05,0.0027
3.06E-08,3.06E-02,1.21E-05,0.0027
3.15E-08,3.15E-02,1.24E-05,0.0027
3.23E-08,3.23E-02,1.26E-05,0.0027
3.32E-08,3.32E-02,1.28E-05,0.0027
3.40E-08,3.40E-02,1.31E-05,0.0027
3.49E-08,3.49E-02,1.34E-05,0.0027
3.59E-08,3.59E-02,1.36E-05,0.0027
3.68E-08,3.68E-02,1.38E-05,0.0027
3.78E-08,3.78E-02,1.41E-05,0.0027
3.88E-08,3.88E-02,1.42E-05,0.0027
3.99E-08,3.99E-02,1.44E-05,0.0027
4.09E-08,4.09E-02,1.47E-05,0.0027
4.20E-08,4.20E-02,1.48E-05,0.0027
4.31E-08,4.31E-02,1.50E-05,0.0027
4.43E-08,4.43E-02,1.51E-05,0.0027
4.55E-08,4.55E-02,1.52E-05,0.0027
4.67E-08,4.67E-02,1.53E-05,0.0027
4.79E-08,4.79E-02,1.54E-05,0.0027
4.92E-08,4.92E-02,1.55E-05,0.0027
5.05E-08,5.05E-02,1.56E-05,0.0027
5.19E-08,5.19E-02,1.56E-05,0.0027
5.33E-08,5.33E-02,1.57E-05,0.0027
5.47E-08,5.47E-02,1.56E-05,0.0027
5.61E-08,5.61E-02,1.56E-05,0.0027
5.76E-08,5.76E-02,1.55E-05,0.0027
5.92E-08,5.92E-02,1.55E-05,0.0027
6.07E-08,6.07E-02,1.53E-05,0.0027
6.24E-08,6.24E-02,1.52E-05,0.0027
6.40E-08,6.40E-02,1.51E-05,0.0027
6.57E-08,6.57E-02,1.50E-05,0.0027
6.75E-08,6.75E-02,1.48E-05,0.0027
6.93E-08,6.93E-02,1.46E-05,0.0027
7.11E-08,7.11E-02,1.44E-05,0.0027
7.30E-08,7.30E-02,1.41E-05,0.0027
7.50E-08,7.50E-02,1.39E-05,0.0027
7.70E-08,7.70E-02,1.36E-05,0.0027
7.90E-08,7.90E-02,1.33E-05,0.0027
8.12E-08,8.12E-02,1.30E-05,0.0027
8.33E-08,8.33E-02,1.27E-05,0.0027
8.55E-08,8.55E-02,1.24E-05,0.0027
8.78E-08,8.78E-02,1.20E-05,0.0027
9.02E-08,9.02E-02,1.16E-05,0.0027
9.26E-08,9.26E-02,1.13E-05,0.0027
9.50E-08,9.50E-02,1.09E-05,0.0027
9.76E-08,9.76E-02,1.05E-05,0.0027
1.00E-07,1.00E-01,1.02E-05,0.0027
1.03E-07,1.03E-01,9.75E-06,0.0027
1.06E-07,1.06E-01,9.38E-06,0.0027
1.08E-07,1.08E-01,8.99E-06,0.0027
1.11E-07,1.11E-01,8.59E-06,0.0027
1.14E-07,1.14E-01,8.22E-06,0.0027
1.17E-07,1.17E-01,7.85E-06,0.0027
1.20E-07,1.20E-01,7.47E-06,0.0027
1.24E-07,1.24E-01,7.12E-06,0.0027
1.27E-07,1.27E-01,6.76E-06,0.0027
1.30E-07,1.30E-01,6.42E-06,0.0027
1.34E-07,1.34E-01,6.09E-06,0.0027
1.37E-07,1.37E-01,5.78E-06,0.0027
1.41E-07,1.41E-01,5.47E-06,0.0027
1.45E-07,1.45E-01,5.18E-06,0.0027
1.49E-07,1.49E-01,4.90E-06,0.0027
1.53E-07,1.53E-01,4.65E-06,0.0027
1.57E-07,1.57E-01,4.39E-06,0.0027
1.61E-07,1.61E-01,4.16E-06,0.0027
1.65E-07,1.65E-01,3.95E-06,0.0028
1.70E-07,1.70E-01,3.74E-06,0.0028
1.74E-07,1.74E-01,3.56E-06,0.0028
1.79E-07,1.79E-01,3.39E-06,0.0028
1.84E-07,1.84E-01,3.23E-06,0.0028
1.88E-07,1.88E-01,3.09E-06,0.0028
1.93E-07,1.93E-01,2.96E-06,0.0028
1.99E-07,1.99E-01,2.84E-06,0.0028
2.04E-07,2.04E-01,2.73E-06,0.0028
2.09E-07,2.09E-01,2.64E-06,0.0028
2.15E-07,2.15E-01,2.55E-06,0.0028
2.21E-07,2.21E-01,2.46E-06,0.0028
2.27E-07,2.27E-01,2.39E-06,0.0028
2.33E-07,2.33E-01,2.33E-06,0.0028
2.39E-07,2.39E-01,2.28E-06,0.0028
2.45E-07,2.45E-01,2.23E-06,0.0028
2.52E-07,2.52E-01,2.18E-06,0.0028
2.58E-07,2.58E-01,2.14E-06,0.0028
2.65E-07,2.65E-01,2.10E-06,0.0028
2.72E-07,2.72E-01,2.07E-06,0.0028
2.80E-07,2.80E-01,2.05E-06,0.0028
2.87E-07,2.87E-01,2.02E-06,0.0028
2.95E-07,2.95E-01,2.00E-06,0.0028
