Filename,keff value
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch12.o,0.83424
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch13.o,0.89614
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch14.o,0.93979
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch15.o,0.96750
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch16.o,0.98211
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch17.o,0.98540
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch18.o,0.98006
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch19.o,0.96731
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch20.o,0.94892
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch21.o,0.92556
o-seg-unit-Urho18_53-Uebc7_1-Grho1_70-Gebc6_6-pitch22.o,0.89923
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch12.o,0.86137
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch13.o,0.93448
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch14.o,0.99070
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch15.o,1.03258
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch16.o,1.06219
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch17.o,1.08171
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch18.o,1.09256
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch19.o,1.09642
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch20.o,1.09434
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch21.o,1.08718
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch22.o,1.07606
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch23.o,1.06109
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch24.o,1.04347
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch25.o,1.02311
o-seg-unit-Urho19_01-Uebc0-Grho1_70-Gebc0-pitch26.o,1.00098
o-unit_cell-b8_u-agot_grph-pitch_14cm.o,0.96363
o-unit_cell-b8_u-agot_grph-pitch_15cm.o,1.00351
o-unit_cell-b8_u-agot_grph-pitch_16cm.o,1.03057
o-unit_cell-b8_u-agot_grph-pitch_17cm.o,1.04864
o-unit_cell-b8_u-agot_grph-pitch_18cm.o,1.05691
o-unit_cell-b8_u-agot_grph-pitch_19cm.o,1.05790
o-unit_cell-b8_u-agot_grph-pitch_20cm.o,1.05308
o-unit_cell-b8_u-agot_grph-pitch_21cm.o,1.04336
o-unit_cell-b8_u-agot_grph-pitch_22cm.o,1.02873
o-unit_cell-b8_u-agot_grph-pitch_23cm.o,1.01141
o-unit_cell-b8_u-agot_grph-pitch_24cm.o,0.99102
o-unit_cell-b8_u-agot_grph-pitch_25cm.o,0.96836
o-unit_cell-b8_u-agot_grph-pitch_26cm.o,0.94375
o-unit_cell-b8_u-b7_grph-pitch_14cm.o,0.96059
o-unit_cell-b8_u-b7_grph-pitch_15cm.o,0.99247
o-unit_cell-b8_u-b7_grph-pitch_16cm.o,1.01202
o-unit_cell-b8_u-b7_grph-pitch_17cm.o,1.02005
o-unit_cell-b8_u-b7_grph-pitch_18cm.o,1.01922
o-unit_cell-b8_u-b7_grph-pitch_20cm.o,0.99856
o-unit_cell-b8_u-b7_grph-pitch_21cm.o,0.97973
o-unit_cell-b8_u-b7_grph-pitch_22cm.o,0.95721
o-unit_cell-b8_u-b7_grph-pitch_23cm.o,0.93257
o-unit_cell-b8_u-b7_grph-pitch_24cm.o,0.90500
o-unit_cell-nominal_u-agot_grph-pitch_14cm.o,0.97522
o-unit_cell-nominal_u-agot_grph-pitch_15cm.o,1.01643
o-unit_cell-nominal_u-agot_grph-pitch_16cm.o,1.04587
o-unit_cell-nominal_u-agot_grph-pitch_17cm.o,1.06305
o-unit_cell-nominal_u-agot_grph-pitch_18cm.o,1.07244
o-unit_cell-nominal_u-agot_grph-pitch_19cm.o,1.07343
o-unit_cell-nominal_u-agot_grph-pitch_20cm.o,1.06870
o-unit_cell-nominal_u-agot_grph-pitch_21cm.o,1.05900
o-unit_cell-nominal_u-agot_grph-pitch_22cm.o,1.04487
o-unit_cell-nominal_u-agot_grph-pitch_23cm.o,1.02716
o-unit_cell-nominal_u-agot_grph-pitch_24cm.o,1.00644
o-unit_cell-nominal_u-agot_grph-pitch_25cm.o,0.98375
o-unit_cell-nominal_u-agot_grph-pitch_26cm.o,0.95836
o-unit_cell-nominal_u-b7_grph-pitch_14cm.o,0.97229
o-unit_cell-nominal_u-b7_grph-pitch_15cm.o,1.00552
o-unit_cell-nominal_u-b7_grph-pitch_16cm.o,1.02549
o-unit_cell-nominal_u-b7_grph-pitch_17cm.o,1.03454
o-unit_cell-nominal_u-b7_grph-pitch_18cm.o,1.03451
o-unit_cell-nominal_u-b7_grph-pitch_19cm.o,1.02693
o-unit_cell-nominal_u-b7_grph-pitch_20cm.o,1.01330
o-unit_cell-nominal_u-b7_grph-pitch_21cm.o,0.99486
o-unit_cell-nominal_u-b7_grph-pitch_22cm.o,0.97267
o-unit_cell-nominal_u-b7_grph-pitch_23cm.o,0.94722
o-unit_cell-nominal_u-b7_grph-pitch_24cm.o,0.91939
