Filename,keff value
o_b8hcp-caseSC-c1700-r63_55-d2o96_8-v1400.o,0.88540
o_b8hcp-caseSC-c1700-r68_42-d2o96_8-v1800.o,0.93373
o_b8hcp-caseSC-c1700-r70_62-d2o96_8-v2000.o,0.95095
o_b8hcp-caseSC-c1700-r71_66-d2o96_8-v2100.o,0.95841
o_b8hcp-caseSC-c1700-r72_68-d2o96_8-v2200.o,0.96553
o_b8hcp-caseSC-c1700-r73_67-d2o96_8-v2300.o,0.97098
o_b8hcp-caseSC-c1700-r74_64-d2o96_8-v2400.o,0.97614
o_b8hcp-caseSC-c1700-r75_58-d2o96_8-v2500.o,0.98129
o_b8hcp-caseSC-c1700-r76_50-d2o96_8-v2600.o,0.98553
o_b8hcp-caseSC-c1700-r77_39-d2o96_8-v2700.o,0.98983
o_b8hcp-caseSC-c1700-r78_27-d2o96_8-v2800.o,0.99342
o_b8hcp-caseSC-c1700-r79_12-d2o96_8-v2900.o,0.99655
o_b8hcp-caseSC-c1700-r79_96-d2o96_8-v3000.o,0.99935
o_b8hcp-caseSC-c1700-r80_78-d2o96_8-v3100.o,1.00143
o_b8hcp-caseSC-c1700-r81_59-d2o96_8-v3200.o,1.00428
o_b8hcp-caseSC-c1700-r82_38-d2o96_8-v3300.o,1.00616
o_b8hcp-caseSC-c1700-r83_15-d2o96_8-v3400.o,1.00778
o_b8hcp-caseSC-c1700-r83_91-d2o96_8-v3500.o,1.00931
o_b8hcp-caseSC-c1700-r84_66-d2o96_8-v3600.o,1.01102
o_b8hcp-caseSC-c1700-r85_39-d2o96_8-v3700.o,1.01174
o_b8hcp-caseSC-c1700-r86_11-d2o96_8-v3800.o,1.01294
o_b8hcp-caseSC-c1700-r87_52-d2o96_8-v4000.o,1.01406
o_b8hcp-caseSC-c1700-r88_21-d2o96_8-v4100.o,1.01488
o_b8hcp-caseSC-c1700-r88_89-d2o96_8-v4200.o,1.01484
o_b8hcp-caseSC-c1725-r60_85-d2o96_8-v1200.o,0.85205
o_b8hcp-caseSC-c1725-r63_59-d2o96_8-v1400.o,0.88578
o_b8hcp-caseSC-c1725-r68_46-d2o96_8-v1800.o,0.93442
o_b8hcp-caseSC-c1725-r70_65-d2o96_8-v2000.o,0.95166
o_b8hcp-caseSC-c1725-r71_70-d2o96_8-v2100.o,0.95929
o_b8hcp-caseSC-c1725-r72_71-d2o96_8-v2200.o,0.96618
o_b8hcp-caseSC-c1725-r73_70-d2o96_8-v2300.o,0.97177
o_b8hcp-caseSC-c1725-r74_67-d2o96_8-v2400.o,0.97722
o_b8hcp-caseSC-c1725-r75_61-d2o96_8-v2500.o,0.98201
o_b8hcp-caseSC-c1725-r76_52-d2o96_8-v2600.o,0.98635
o_b8hcp-caseSC-c1725-r77_42-d2o96_8-v2700.o,0.99056
o_b8hcp-caseSC-c1725-r78_29-d2o96_8-v2800.o,0.99385
o_b8hcp-caseSC-c1725-r79_15-d2o96_8-v2900.o,0.99705
o_b8hcp-caseSC-c1725-r79_99-d2o96_8-v3000.o,0.99986
o_b8hcp-caseSC-c1725-r80_81-d2o96_8-v3100.o,1.00266
o_b8hcp-caseSC-c1725-r81_61-d2o96_8-v3200.o,1.00449
o_b8hcp-caseSC-c1725-r82_40-d2o96_8-v3300.o,1.00640
o_b8hcp-caseSC-c1725-r83_18-d2o96_8-v3400.o,1.00851
o_b8hcp-caseSC-c1725-r83_94-d2o96_8-v3500.o,1.01001
o_b8hcp-caseSC-c1725-r84_68-d2o96_8-v3600.o,1.01114
o_b8hcp-caseSC-c1725-r85_42-d2o96_8-v3700.o,1.01242
o_b8hcp-caseSC-c1725-r86_14-d2o96_8-v3800.o,1.01356
o_b8hcp-caseSC-c1725-r87_54-d2o96_8-v4000.o,1.01517
o_b8hcp-caseSC-c1725-r88_23-d2o96_8-v4100.o,1.01547
o_b8hcp-caseSC-c1725-r88_91-d2o96_8-v4200.o,1.01573
o_b8hcp-caseSC-c1750-r60_89-d2o96_8-v1200.o,0.85256
o_b8hcp-caseSC-c1750-r63_63-d2o96_8-v1400.o,0.88647
o_b8hcp-caseSC-c1750-r68_49-d2o96_8-v1800.o,0.93461
o_b8hcp-caseSC-c1750-r70_68-d2o96_8-v2000.o,0.95220
o_b8hcp-caseSC-c1750-r71_73-d2o96_8-v2100.o,0.95981
o_b8hcp-caseSC-c1750-r72_75-d2o96_8-v2200.o,0.96617
o_b8hcp-caseSC-c1750-r73_73-d2o96_8-v2300.o,0.97207
o_b8hcp-caseSC-c1750-r74_70-d2o96_8-v2400.o,0.97784
o_b8hcp-caseSC-c1750-r75_64-d2o96_8-v2500.o,0.98296
o_b8hcp-caseSC-c1750-r76_55-d2o96_8-v2600.o,0.98705
o_b8hcp-caseSC-c1750-r77_45-d2o96_8-v2700.o,0.99072
o_b8hcp-caseSC-c1750-r78_32-d2o96_8-v2800.o,0.99463
o_b8hcp-caseSC-c1750-r79_18-d2o96_8-v2900.o,0.99803
o_b8hcp-caseSC-c1750-r80_01-d2o96_8-v3000.o,1.00074
o_b8hcp-caseSC-c1750-r80_83-d2o96_8-v3100.o,1.00291
o_b8hcp-caseSC-c1750-r81_64-d2o96_8-v3200.o,1.00572
o_b8hcp-caseSC-c1750-r82_43-d2o96_8-v3300.o,1.00737
o_b8hcp-caseSC-c1750-r83_20-d2o96_8-v3400.o,1.00932
o_b8hcp-caseSC-c1750-r83_96-d2o96_8-v3500.o,1.01049
o_b8hcp-caseSC-c1750-r84_71-d2o96_8-v3600.o,1.01202
o_b8hcp-caseSC-c1750-r85_44-d2o96_8-v3700.o,1.01331
o_b8hcp-caseSC-c1750-r86_16-d2o96_8-v3800.o,1.01397
o_b8hcp-caseSC-c1750-r87_57-d2o96_8-v4000.o,1.01555
o_b8hcp-caseSC-c1750-r88_25-d2o96_8-v4100.o,1.01612
o_b8hcp-caseSC-c1750-r88_93-d2o96_8-v4200.o,1.01652
o_b8hcp-caseSC-c1775-r60_94-d2o96_8-v1200.o,0.85259
o_b8hcp-caseSC-c1775-r63_67-d2o96_8-v1400.o,0.88629
o_b8hcp-caseSC-c1775-r68_53-d2o96_8-v1800.o,0.93519
o_b8hcp-caseSC-c1775-r70_72-d2o96_8-v2000.o,0.95271
o_b8hcp-caseSC-c1775-r71_76-d2o96_8-v2100.o,0.96028
o_b8hcp-caseSC-c1775-r72_78-d2o96_8-v2200.o,0.96653
o_b8hcp-caseSC-c1775-r73_76-d2o96_8-v2300.o,0.97234
o_b8hcp-caseSC-c1775-r74_73-d2o96_8-v2400.o,0.97801
o_b8hcp-caseSC-c1775-r75_67-d2o96_8-v2500.o,0.98291
o_b8hcp-caseSC-c1775-r76_58-d2o96_8-v2600.o,0.98746
o_b8hcp-caseSC-c1775-r77_47-d2o96_8-v2700.o,0.99136
o_b8hcp-caseSC-c1775-r78_35-d2o96_8-v2800.o,0.99511
o_b8hcp-caseSC-c1775-r79_20-d2o96_8-v2900.o,0.99800
o_b8hcp-caseSC-c1775-r80_04-d2o96_8-v3000.o,1.00105
o_b8hcp-caseSC-c1775-r80_86-d2o96_8-v3100.o,1.00362
o_b8hcp-caseSC-c1775-r81_66-d2o96_8-v3200.o,1.00556
o_b8hcp-caseSC-c1775-r82_45-d2o96_8-v3300.o,1.00798
o_b8hcp-caseSC-c1775-r83_22-d2o96_8-v3400.o,1.00963
o_b8hcp-caseSC-c1775-r83_98-d2o96_8-v3500.o,1.01124
o_b8hcp-caseSC-c1775-r84_73-d2o96_8-v3600.o,1.01248
o_b8hcp-caseSC-c1775-r85_46-d2o96_8-v3700.o,1.01349
o_b8hcp-caseSC-c1775-r86_18-d2o96_8-v3800.o,1.01455
o_b8hcp-caseSC-c1775-r87_59-d2o96_8-v4000.o,1.01626
o_b8hcp-caseSC-c1775-r88_27-d2o96_8-v4100.o,1.01700
o_b8hcp-caseSC-c1775-r88_95-d2o96_8-v4200.o,1.01669
o_b8hcp-caseSC-c1800-r60_98-d2o96_8-v1200.o,0.85233
o_b8hcp-caseSC-c1800-r63_71-d2o96_8-v1400.o,0.88668
o_b8hcp-caseSC-c1800-r68_56-d2o96_8-v1800.o,0.93569
o_b8hcp-caseSC-c1800-r70_75-d2o96_8-v2000.o,0.95299
o_b8hcp-caseSC-c1800-r71_79-d2o96_8-v2100.o,0.96024
o_b8hcp-caseSC-c1800-r72_81-d2o96_8-v2200.o,0.96703
o_b8hcp-caseSC-c1800-r73_80-d2o96_8-v2300.o,0.97276
o_b8hcp-caseSC-c1800-r74_76-d2o96_8-v2400.o,0.97861
o_b8hcp-caseSC-c1800-r75_69-d2o96_8-v2500.o,0.98328
o_b8hcp-caseSC-c1800-r76_61-d2o96_8-v2600.o,0.98779
o_b8hcp-caseSC-c1800-r77_50-d2o96_8-v2700.o,0.99196
o_b8hcp-caseSC-c1800-r78_38-d2o96_8-v2800.o,0.99524
o_b8hcp-caseSC-c1800-r79_23-d2o96_8-v2900.o,0.99884
o_b8hcp-caseSC-c1800-r80_07-d2o96_8-v3000.o,1.00174
o_b8hcp-caseSC-c1800-r80_89-d2o96_8-v3100.o,1.00389
o_b8hcp-caseSC-c1800-r81_69-d2o96_8-v3200.o,1.00615
o_b8hcp-caseSC-c1800-r82_48-d2o96_8-v3300.o,1.00842
o_b8hcp-caseSC-c1800-r83_25-d2o96_8-v3400.o,1.00988
o_b8hcp-caseSC-c1800-r84_01-d2o96_8-v3500.o,1.01170
o_b8hcp-caseSC-c1800-r84_75-d2o96_8-v3600.o,1.01320
o_b8hcp-caseSC-c1800-r85_48-d2o96_8-v3700.o,1.01423
o_b8hcp-caseSC-c1800-r86_20-d2o96_8-v3800.o,1.01494
o_b8hcp-caseSC-c1800-r87_61-d2o96_8-v4000.o,1.01676
o_b8hcp-caseSC-c1800-r88_29-d2o96_8-v4100.o,1.01748
o_b8hcp-caseSC-c1800-r88_97-d2o96_8-v4200.o,1.01730
o_b8hcp-caseSC-c2000-r61_34-d2o96_8-v1200.o,0.81560
o_b8hcp-caseSC-c2000-r64_04-d2o96_8-v1400.o,0.85197
o_b8hcp-caseSC-c2000-r68_84-d2o96_8-v1800.o,0.90687
o_b8hcp-caseSC-c2000-r71_01-d2o96_8-v2000.o,0.92725
o_b8hcp-caseSC-c2000-r72_05-d2o96_8-v2100.o,0.93612
o_b8hcp-caseSC-c2000-r73_06-d2o96_8-v2200.o,0.94439
o_b8hcp-caseSC-c2000-r74_04-d2o96_8-v2300.o,0.95174
o_b8hcp-caseSC-c2000-r74_99-d2o96_8-v2400.o,0.95894
o_b8hcp-caseSC-c2000-r75_92-d2o96_8-v2500.o,0.96512
o_b8hcp-caseSC-c2000-r76_83-d2o96_8-v2600.o,0.97081
o_b8hcp-caseSC-c2000-r77_72-d2o96_8-v2700.o,0.97618
o_b8hcp-caseSC-c2000-r78_59-d2o96_8-v2800.o,0.98063
o_b8hcp-caseSC-c2000-r79_44-d2o96_8-v2900.o,0.98550
o_b8hcp-caseSC-c2000-r80_27-d2o96_8-v3000.o,0.98945
o_b8hcp-caseSC-c2000-r81_09-d2o96_8-v3100.o,0.99299
o_b8hcp-caseSC-c2000-r81_89-d2o96_8-v3200.o,0.99648
o_b8hcp-caseSC-c2000-r82_67-d2o96_8-v3300.o,0.99958
o_b8hcp-caseSC-c2000-r83_44-d2o96_8-v3400.o,1.00241
o_b8hcp-caseSC-c2000-r84_19-d2o96_8-v3500.o,1.00503
o_b8hcp-caseSC-c2000-r84_94-d2o96_8-v3600.o,1.00743
o_b8hcp-caseSC-c2000-r85_67-d2o96_8-v3700.o,1.00961
o_b8hcp-caseSC-c2000-r86_38-d2o96_8-v3800.o,1.01131
o_b8hcp-caseSC-c2000-r87_78-d2o96_8-v4000.o,1.01446
o_b8hcp-caseSC-c2000-r88_46-d2o96_8-v4100.o,1.01602
o_b8hcp-caseSC-c2000-r89_14-d2o96_8-v4200.o,1.01751
o_b8hcp-caseSC-c2100-r61_51-d2o96_8-v1200.o,0.81369
o_b8hcp-caseSC-c2100-r64_20-d2o96_8-v1400.o,0.85087
