cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124,82,9,8,5.5,8.18,0.994,0.00013,89.74
6,124,82,9,8,6,6.18,0.99555,0.00012,89.87
6.5,124,82,9,8,6.5,4.18,0.99613,0.00012,89.98
7,124,82,9,8,7,2.18,0.99672,0.00012,90.08
7.5,124,82,9,8,7.5,0.18,0.9968,0.00012,90.15
8,127.6383375,82,9,8,8,0,0.99768,0.00013,90.26
8.5,131.6383375,82,9,8,8.5,0,0.99847,0.00012,90.36
9,135.6383375,82,9,8,9,0,0.99924,0.00012,90.44
9.5,139.6383375,82,9,8,9.5,0,0.9996,0.00013,90.53
10,143.6383375,82,9,8,10,0,1.00002,0.00012,90.6
10.5,147.6383375,82,9,8,10.5,0,0.9999,0.00012,90.67
11,151.6383375,82,9,8,11,0,0.99974,0.00014,90.74
11.5,155.6383375,82,9,8,11.5,0,0.99935,0.00012,90.8
12,159.6383375,82,9,8,12,0,0.99902,0.00014,90.85
12.5,163.6383375,82,9,8,12.5,0,0.9982,0.00013,90.91
13,167.6383375,82,9,8,13,0,0.99749,0.00011,90.96
13.5,171.6383375,82,9,8,13.5,0,0.99651,0.00012,91
14,175.6383375,82,9,8,14,0,0.99578,0.00012,91.04
14.5,179.6383375,82,9,8,14.5,0,0.99466,0.00012,91.07
15,183.6383375,82,9,8,15,0,0.99366,0.00013,91.11
15.5,187.6383375,82,9,8,15.5,0,0.99245,0.00013,91.13
16,191.6383375,82,9,8,16,0,0.99106,0.00013,91.16
16.5,195.6383375,82,9,8,16.5,0,0.98977,0.00011,91.19
17,199.6383375,82,9,8,17,0,0.98859,0.00013,91.22
