cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,61.7,9,8,5.5,8.18,0.94898,0.00011,86.95
6.0,124.0,61.7,9,8,6.0,6.18,0.95273,0.00011,87.18
6.5,124.0,61.7,9,8,6.5,4.18,0.95598,0.00012,87.38
7.0,124.0,61.7,9,8,7.0,2.18,0.95851,0.00012,87.55
7.5,124.0,61.7,9,8,7.5,0.18,0.96069,0.00014,87.71
8.0,127.63833751458316,61.7,9,8,8.0,0.0,0.96352,0.00012,87.92
8.5,131.63833751458316,61.7,9,8,8.5,0.0,0.96597,0.00011,88.09
9.0,135.63833751458316,61.7,9,8,9.0,0.0,0.96852,0.00013,88.26
9.5,139.63833751458316,61.7,9,8,9.5,0.0,0.97087,0.00013,88.41
10.0,143.63833751458316,61.7,9,8,10.0,0.0,0.97215,0.00012,88.55
10.5,147.63833751458316,61.7,9,8,10.5,0.0,0.97375,0.00012,88.68
11.0,151.63833751458316,61.7,9,8,11.0,0.0,0.97496,0.00013,88.81
11.5,155.63833751458316,61.7,9,8,11.5,0.0,0.97609,0.00011,88.92
12.0,159.63833751458316,61.7,9,8,12.0,0.0,0.97703,0.00014,89.04
12.5,163.63833751458316,61.7,9,8,12.5,0.0,0.97759,0.00012,89.14
13.0,167.63833751458316,61.7,9,8,13.0,0.0,0.97824,0.00011,89.24
13.5,171.63833751458316,61.7,9,8,13.5,0.0,0.97896,0.00015,89.33
14.0,175.63833751458316,61.7,9,8,14.0,0.0,0.9789,0.00012,89.42
14.5,179.63833751458316,61.7,9,8,14.5,0.0,0.97888,0.00011,89.5
15.0,183.6383375145832,61.7,9,8,15.0,0.0,0.97925,0.00012,89.58
15.5,187.6383375145832,61.7,9,8,15.5,0.0,0.97901,0.00012,89.65
16.0,191.6383375145832,61.7,9,8,16.0,0.0,0.97864,0.00014,89.71
16.5,195.6383375145832,61.7,9,8,16.5,0.0,0.97808,0.00013,89.78
17.0,199.63833751458316,61.7,9,8,17.0,0.0,0.97796,0.00013,89.83
