cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,76.0,9.0,8.0,5.5,8.18,0.98687,0.00012,89.15
6.0,124.0,76.0,9.0,8.0,6.0,6.18,0.98847,0.00011,89.31
6.5,124.0,76.0,9.0,8.0,6.5,4.18,0.99021,0.00013,89.44
7.0,124.0,76.0,9.0,8.0,7.0,2.18,0.99154,0.00011,89.56
7.5,124.0,76.0,9.0,8.0,7.5,0.18,0.99175,0.00012,89.66
8.0,127.63833751458316,76.0,9.0,8.0,8.0,0.0,0.99294,0.00013,89.78
8.5,131.63833751458316,76.0,9.0,8.0,8.5,0.0,0.99429,0.00012,89.89
9.0,135.63833751458316,76.0,9.0,8.0,9.0,0.0,0.99524,0.00012,90.0
9.5,139.63833751458316,76.0,9.0,8.0,9.5,0.0,0.99617,0.00014,90.1
10.0,143.63833751458316,76.0,9.0,8.0,10.0,0.0,0.99688,0.00012,90.19
10.5,147.63833751458316,76.0,9.0,8.0,10.5,0.0,0.99716,0.00012,90.27
11.0,151.63833751458316,76.0,9.0,8.0,11.0,0.0,0.99713,0.00012,90.35
11.5,155.63833751458316,76.0,9.0,8.0,11.5,0.0,0.99731,0.00013,90.42
12.0,159.63833751458316,76.0,9.0,8.0,12.0,0.0,0.997,0.00012,90.49
12.5,163.63833751458316,76.0,9.0,8.0,12.5,0.0,0.99685,0.00013,90.55
13.0,167.63833751458316,76.0,9.0,8.0,13.0,0.0,0.99655,0.00012,90.61
13.5,171.63833751458316,76.0,9.0,8.0,13.5,0.0,0.99559,0.00012,90.66
14.0,175.63833751458316,76.0,9.0,8.0,14.0,0.0,0.99523,0.00012,90.7
14.5,179.63833751458316,76.0,9.0,8.0,14.5,0.0,0.99439,0.00012,90.76
15.0,183.6383375145832,76.0,9.0,8.0,15.0,0.0,0.99359,0.00012,90.8
15.5,187.6383375145832,76.0,9.0,8.0,15.5,0.0,0.99257,0.00013,90.83
16.0,191.6383375145832,76.0,9.0,8.0,16.0,0.0,0.99154,0.00012,90.88
16.5,195.6383375145832,76.0,9.0,8.0,16.5,0.0,0.99053,0.00013,90.92
17.0,199.63833751458316,76.0,9.0,8.0,17.0,0.0,0.98932,0.00013,90.96
