cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,86.0,9.0,8.0,5.5,8.18,0.99661,0.00012,90.04
6.0,124.0,86.0,9.0,8.0,6.0,6.18,0.99796,0.00012,90.16
6.5,,,,,,,,,
7.0,,,,,,,,,
7.5,,,,,,,,,
8.0,,,,,,,,,
8.5,,,,,,,,,
9.0,,,,,,,,,
9.5,,,,,,,,,
10.0,,,,,,,,,
10.5,,,,,,,,,
11.0,,,,,,,,,
11.5,,,,,,,,,
12.0,,,,,,,,,
12.5,,,,,,,,,
13.0,,,,,,,,,
13.5,,,,,,,,,
14.0,,,,,,,,,
14.5,,,,,,,,,
15.0,,,,,,,,,
15.5,,,,,,,,,
16.0,,,,,,,,,
16.5,,,,,,,,,
17.0,,,,,,,,,
