cube interval (cm),tank h cm,tank r cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
5.5,124.0,68.0,9.0,8.0,5.5,8.18,0.96966,0.00011,88.12
6.0,124.0,68.0,9.0,8.0,6.0,6.18,0.97293,0.00013,88.31
6.5,124.0,68.0,9.0,8.0,6.5,4.18,0.97497,0.00012,88.47
7.0,124.0,68.0,9.0,8.0,7.0,2.18,0.97696,0.00013,88.62
7.5,124.0,68.0,9.0,8.0,7.5,0.18,0.97837,0.00012,88.75
8.0,127.63833751458316,68.0,9.0,8.0,8.0,0.0,0.98031,0.00011,88.89
8.5,131.63833751458316,68.0,9.0,8.0,8.5,0.0,0.98213,0.00012,89.03
9.0,135.63833751458316,68.0,9.0,8.0,9.0,0.0,0.98391,0.00013,89.17
9.5,139.63833751458316,68.0,9.0,8.0,9.5,0.0,0.98539,0.00013,89.3
10.0,143.63833751458316,68.0,9.0,8.0,10.0,0.0,0.98658,0.00013,89.42
10.5,147.63833751458316,68.0,9.0,8.0,10.5,0.0,0.98752,0.00011,89.53
11.0,151.63833751458316,68.0,9.0,8.0,11.0,0.0,0.98825,0.00012,89.62
11.5,155.63833751458316,68.0,9.0,8.0,11.5,0.0,0.98861,0.00013,89.72
12.0,159.63833751458316,68.0,9.0,8.0,12.0,0.0,0.98892,0.00012,89.8
12.5,163.63833751458316,68.0,9.0,8.0,12.5,0.0,0.9891,0.00013,89.89
13.0,167.63833751458316,68.0,9.0,8.0,13.0,0.0,0.9895,0.00012,89.96
13.5,171.63833751458316,68.0,9.0,8.0,13.5,0.0,0.98907,0.00011,90.04
14.0,175.63833751458316,68.0,9.0,8.0,14.0,0.0,0.98909,0.00013,90.1
14.5,179.63833751458316,68.0,9.0,8.0,14.5,0.0,0.9887,0.00013,90.17
15.0,183.6383375145832,68.0,9.0,8.0,15.0,0.0,0.98804,0.00015,90.22
15.5,187.6383375145832,68.0,9.0,8.0,15.5,0.0,0.9876,0.00014,90.28
16.0,191.6383375145832,68.0,9.0,8.0,16.0,0.0,0.98713,0.00013,90.33
16.5,195.6383375145832,68.0,9.0,8.0,16.5,0.0,0.98646,0.00015,90.38
17.0,199.63833751458316,68.0,9.0,8.0,17.0,0.0,0.98558,0.00013,90.43
