output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c1000-r59_52-d2o96_8-v1200.o,1000.0,1200.0,59.52216,0.9109,0.00015,83.35
o_b8hcp-caseSC-c1000-r62_38-d2o96_8-v1400.o,1000.0,1400.0,62.37779,0.93388,0.00015,84.85
o_b8hcp-caseSC-c1000-r67_41-d2o96_8-v1800.o,1000.0,1800.0,67.41403,0.96234,0.00015,86.82
o_b8hcp-caseSC-c1000-r69_67-d2o96_8-v2000.o,1000.0,2000.0,69.67223,0.97043,0.00016,87.53
o_b8hcp-caseSC-c1000-r70_75-d2o96_8-v2100.o,1000.0,2100.0,70.74842,0.97389,0.00015,87.8
o_b8hcp-caseSC-c1000-r71_79-d2o96_8-v2200.o,1000.0,2200.0,71.79282,0.97627,0.00015,88.06
o_b8hcp-caseSC-c1000-r72_81-d2o96_8-v2300.o,1000.0,2300.0,72.8077,0.97883,0.00015,88.29
o_b8hcp-caseSC-c1000-r73_80-d2o96_8-v2400.o,1000.0,2400.0,73.79504,0.98005,0.00015,88.51
o_b8hcp-caseSC-c1000-r74_76-d2o96_8-v2500.o,1000.0,2500.0,74.75665,0.98161,0.00015,88.68
o_b8hcp-caseSC-c1000-r75_69-d2o96_8-v2600.o,1000.0,2600.0,75.69413,0.98211,0.00014,88.86
o_b8hcp-caseSC-c1000-r76_61-d2o96_8-v2700.o,1000.0,2700.0,76.60895,0.98269,0.00014,89.02
o_b8hcp-caseSC-c1000-r77_50-d2o96_8-v2800.o,1000.0,2800.0,77.50243,0.983,0.00016,89.16
o_b8hcp-caseSC-c1000-r78_38-d2o96_8-v2900.o,1000.0,2900.0,78.37577,0.98324,0.00016,89.3
o_b8hcp-caseSC-c1000-r79_23-d2o96_8-v3000.o,1000.0,3000.0,79.23007,0.98297,0.00017,89.43
o_b8hcp-caseSC-c1000-r80_07-d2o96_8-v3100.o,1000.0,3100.0,80.06634,0.98256,0.00014,89.53
o_b8hcp-caseSC-c1000-r80_89-d2o96_8-v3200.o,1000.0,3200.0,80.88548,0.98193,0.00015,89.65
o_b8hcp-caseSC-c1000-r81_69-d2o96_8-v3300.o,1000.0,3300.0,81.68837,0.98113,0.00016,89.72
o_b8hcp-caseSC-c1000-r82_48-d2o96_8-v3400.o,1000.0,3400.0,82.47578,0.98033,0.00015,89.84
o_b8hcp-caseSC-c1000-r83_25-d2o96_8-v3500.o,1000.0,3500.0,83.24843,0.97944,0.00015,89.9
o_b8hcp-caseSC-c1000-r84_01-d2o96_8-v3600.o,1000.0,3600.0,84.007,0.97816,0.00015,89.98
