idx chain a,tank h cm,chain a,chain b,cube interval,offset,keff,keff unc,therm fis %
9,119.8,9.0,8.0,7.59,0.0,0.95673,0.00021,89.11
10,119.8,10.0,9.0,6.01,0.03,0.96288,0.00021,88.66
11,119.8,11.0,10.0,4.75,0.05,0.96534,0.00022,88.19
12,119.8,12.0,11.0,3.73,0.0,0.96509,0.0002,87.66
13,119.8,13.0,12.0,2.87,0.01,0.96342,0.00022,87.11
14,119.8,14.0,13.0,2.14,0.04,0.9592,0.00022,86.53
15,119.8,15.0,14.0,1.52,0.03,0.95517,0.00021,85.97
